DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label
Vitamin C,Chi Pharmaceuticals Ltd,I7-9410,6192613750602,L26-6226,2027-07-03,Cream,200mg,10 tablets,Nigeria,Genuine
Doxycycline,Hovid Nigeria Ltd,X8-4613,6197346706568,BT25-2191,2026-07-19,Sachet,125mg/5ml,10 tablets,Nigeria,Genuine
Ampiclox,Drugfield Pharmaceutcials Ltd,OH-VZTM,0ivF7g7U951OB,BATCH-357,UNKNOWN,SACHET,125mg/5ml,100 tablets,Unknown,Suspicious
Amatem,Drugfield Pharmaceuticals Ltd,J6-4957,6190600025894,LOT25-2892,2029-04-18,Ointment,200mg,1 vial,Nigeria,Genuine
Total Cure Tablets,Sunrise Medications,ASW1DI,52032865918198052,78,2022-04-01,Ointment,50mg,10 tablets,Ghana,Suspicious
Atenolol,Hovid Nigeria Ltd,N9-3531,6196179640537,L25-3968,2028-02-22,Cream,5mg,5 vials,Nigeria,Genuine
Loperamide,Hovid Nigeria Ltd,X7-4845,6196826911638,BT24-9451,2028-03-28,Syrup,500mg/5ml,30g tube,Nigeria,Genuine
Chlorpheniramine,Emzor Pharmaceutical Industries,S7-4878,6198468950099,L26-6138,2026-10-16,Capsule,100mg,1 tube,Nigeria,Genuine
Hydrocortisone,Emzor Pharmaceutical Industries,T9-7844,6192543848073,LOT24-0952,2027-12-10,Injection,50mg,60ml bottle,Nigeria,Genuine
Atenolol,Bioraj Pharmaceuticals Ltd,G9-3286,6192501425766,BT25-0113,2027-04-06,Injection,400mg,20 tablets,Nigeria,Genuine
Tetracycline,Evans Medical Plc,H0-4946,6199117182274,B24-4442,2029-04-18,Suspension,250mg/5ml,10 capsules,Nigeria,Genuine
Ciprofloxacin,Swiss Pharma Nigeria Ltd,D0-4924,6191421751887,L26-2100,2029-11-20,Injection,500mg/5ml,20 tablets,Nigeria,Genuine
Flagyl,Nigerian German Chemicals Plc,M5-7541,6198629591253,L24-5147,2027-06-11,Suspension,1g,10 capsules,Nigeria,Genuine
Tramadol,Swiss Pharma Nigeria Ltd,Z9-8243,6195170281404,L26-3710,2029-06-03,Cream,500mg,1 vial,Nigeria,Genuine
Flagyl,Pharma Deko Plc,U2-2225,6197459615863,LOT26-8094,2026-10-03,Suspension,125mg/5ml,5 vials,Nigeria,Genuine
Augmentin,AlphaHealth Industries,M-53992,6197318020401,BATCH-084,2020-03-20,iNJECTION,50mg,1 pack,Nigeria,Suspicious
Folic Acid,Fidson Healthcare Plc,M1-4027,6192753046375,LOT25-5047,2026-05-21,Cream,250mg/5ml,100 tablets,Nigeria,Genuine
Lonart,Bioraj Pharmaceuticals Ltd,E7-6918,6194801571648,L26-5211,2029-04-18,Ointment,400mg,60ml bottle,Nigeria,Genuine
Amoxil,GlaxoSmithKline Nigeria,D6-5754,6193690283779,BT25-0561,2027-09-20,Ointment,500mg/5ml,5 vials,Nigeria,Genuine
Tetracycline,Pfizer Nigeria,K7-5501,6197284639201,B25-7936,2026-09-12,Ointment,125mg/5ml,30g tube,Nigeria,Genuine
Tramadol,Dana Pharmaceuticals Ltd,I6-7357,6197665061805,B24-9694,2026-12-28,Capsule,10mg,200ml bottle,Nigeria,Genuine
  Chloroquine ,PharmaFast Nigeria,-1386,0000000000000,??,04/04/2025,Tbalet,200mg,5 vials,Unknown,Suspicious
Magic Cure Pill,Tuyil hParmaceutical Industries,oWLZcWD,0000000000000,zHvel,UNKNOWN,injection,250mg,30g tube,Ghana,Suspicious
Promethazine,Evans Medical Plc,E1-8574,6199428179345,BN25-5648,2027-12-16,Drops,10mg,200ml bottle,Nigeria,Genuine
Ciporfloxacin,EVANS MEDICAL PLC,NONE,722982,GkH,2022-11-07,SACHET,250mg/5ml,20 tablets,Nigeria,Suspicious
Panado,MegaDrug Industries,  Z2-2380 ,6192206591001,BATCH-812,2023-05-10,INJECTION,UNKNOWN,30 tablets,India,Suspicious
tetracycline,GoodHealth Generics,9MNRN8,cyEXrhl5KZ7HA,41,???,sachet,50mg,5 vials,Unknown,Suspicious
Gentamicin,Nigerian German Chemicals Plc,J6-5640,6199111109611,L26-9024,2026-11-15,Powder,1g,30g tube,Nigeria,Genuine
Chlorpheniramine,May & Baker Nigeria Plc,X6-7564,6199849027706,BT26-8589,2028-04-02,Sachet,5mg,200ml bottle,Nigeria,Genuine
Cotrimoxazole,May & Baker Nigeria Plc,L6-9381,6197611249127,LOT25-5667,2027-04-26,Drops,200mg,10 capsules,Nigeria,Genuine
Lonart DS Extra,HealthMax Pharma,U4-7685,0DRvMfhrt8Yc6,zMMtlwaN,2020-07-18,Sachet,1g,5 vials,China,Suspicious
Gentamicin,SKG Pharma Ltd,N9-5451,6195919663959,LOT26-1152,2029-03-02,Powder,400mg,1 vial,Nigeria,Genuine
ORS,Healwell Pharma Ltd,R2-7580,6192936756275,BATCH-738,2021-05-19,Powder,50mg,1 pack,India,Suspicious
Tetracycline,Hovid Nigeria Ltd,W1-8409,6193906375793,BN26-5189,2028-03-26,Capsule,250mg,200ml bottle,Nigeria,Genuine
Artemether Lumefantrine,SuperCure Pharma,L9-5897,10797,??,12/05/2026,Ointemnt,400mg,1 pack,China,Suspicious
Spironolactone,Pfizer Nigeria,V9-3734,6191779055286,L25-9687,2027-04-27,Cream,250mg,5 vials,Nigeria,Genuine
flagyl,FastRelief Drugs,Q5-7997,6196767809643,BATCH-829,UNKNOWN,Sachte,125mg/5ml,10 capsules,Nigeria,Suspicious
Omeprazole,Pfizer Nigeria,N1-2874,6198367365765,L26-1657,2028-07-11,Injection,10mg,30 tablets,Nigeria,Genuine
Total Cure Tablets,BestPills International,GLO1BX,346754182,55,N/A,  Tablet ,400mg,1 pack,China,Suspicious
Prednisolone,Dana Pharmaceuticals Ltd,Z6-5873,6197102767734,LOT26-2453,2028-12-11,Cream,20mg,30 tablets,Nigeria,Genuine
Ibuprofen,GlaxoSmithKline Nigeria,P9-6871,6195633185744,B24-7586,2026-01-13,Ointment,20mg,20 tablets,Nigeria,Genuine
Augmentin,Juhel Nigeria Ltd,S2-3656,6192206447421,BN24-3423,2026-10-25,Injection,500mg,100ml bottle,Nigeria,Genuine
  Atenolol ,WonderDrug Co,C-51,42610703,47,2022-03-10,  Suspension ,400mg,1 vial,Pakistan,Suspicious
Ranitidine,Tuyil Pharmaceutical Industries,N3-6690,6191484685365,L25-8543,2029-11-25,Powder,100mg,10 tablets,Nigeria,Genuine
Predinsolone,Swiss Pharma Nigeria Ltd,i7-6218,6196461209619,UNKNOWN,2020-10-19,Syrup,5mg,5 vials,China,Suspicious
,MedExpress Ltd,U017WT,0znu2ImtLqPCH,JcjmM,28/08/2025,Podwer,500mg,100 tablets,Pakistan,Suspicious
Lisinopril,SKG Pharma Ltd,C5-4487,6191234550684,B24-7247,2026-08-21,Drops,20mg,30g tube,Nigeria,Genuine
Paracetmol,Sanofi Nigeira,NONE,5777917,BATCH-296,2022-11-11,Suspnesion,100mg,30 tablets,Ghana,Suspicious
Cotrimoxazole,Drugfield Pharmaceuticals Ltd,A3-2196,6190651801706,LOT25-3048,2027-11-24,Ointment,10mg,60ml bottle,Nigeria,Genuine
Doxycycline,Tuyil Pharmaceutical Industries,J6-1601,6197154516809,B25-6870,2026-04-17,Cream,1g,30g tube,Nigeria,Genuine
Folic Acid,Emzor Pharmaceutical Industries,U4-8381,6197358662968,BN26-4939,2027-12-03,Capsule,400mg,30 tablets,Nigeria,Genuine
Multivitamin,Juhel Nigeria Ltd,W8-4560,6193394522884,LOT26-1990,2028-09-16,Sachet,1g,5 vials,Nigeria,Genuine
Panadol,Fidson Healthcare Plc,J5-7807,6192328588422,LOT25-4935,2028-02-15,Capsule,100mg,30g tube,Nigeria,Genuine
Chlorpheniramine,Drugfield Pharmaceuticals Ltd,Q9-9087,6198610313109,BN26-4461,2027-02-18,Capsule,400mg,100 tablets,Nigeria,Genuine
Diazepam,Nigerian German Chemicals Plc,Q1-7484,6194535218185,B24-5824,2028-12-27,Syrup,200mg,20 tablets,Nigeria,Genuine
Ampiclox,SuperCure Pharma,H-76,6191612921358,IHm,2020-02-01,Dorps,250mg/5ml,20 tablets,China,Suspicious
LOPERAMIDE,PharmaFast Nigeria,RU-OPMX,043817,UNKNOWN,13/10/2025,Injection,500mg,1 vial,Pakistan,Suspicious
Ranitidine,Pfizer Nigeria,M9-2676,6190858994416,L24-5609,2028-11-11,Injection,400mg,5 vials,Nigeria,Genuine
Promethazine,Chi Pharmaceuticals Ltd,V4-2388,6192513412525,B25-6952,2027-10-13,Ointment,100mg,100ml bottle,Nigeria,Genuine
Emzor Paracetamol,Dana Pharmaceuticals Ltd,O1-3324,6194365858568,LOT24-3573,2026-05-03,Syrup,500mg,30 tablets,Nigeria,Genuine
Artemether Lumefantrine,May & Baker Nigeria Plc,Z4-7382,6192776572561,LOT26-3114,2026-03-09,Ointment,250mg,100ml bottle,Nigeria,Genuine
Antacid,Pfizer Nigeria,U1-2791,6193529096563,BN24-1715,2028-04-17,Powder,5mg,1 vial,Nigeria,Genuine
Promethazine,Mopson Pharmaceutical Ltd,H9-7825,6192185188889,B24-6497,2029-01-21,Ointment,10mg,10 capsules,Nigeria,Genuine
coartem,PharmaFast Nigeria,l3gtvjdfMJ,6192974511652,auOpEq,2021-04-19,Ointment,500mg,5 vials,Unknown,Suspicious
VITAMIN B COMPLEX,WonderDrug Co,2KOCWD,w7CscD8jQQLwU,UNKNOWN,N/A,Drops,100mg,BULK,Ghana,Suspicious
Furosemide,Tuyil Pharmaceutical Industries,H1-5322,6194158331179,BN24-0315,2027-08-27,Ointment,200mg,100ml bottle,Nigeria,Genuine
Paracetmol,GoodHealth Generics,OORMR9,971763506427299043,VvuWiT,2021-12-12,INJECTION,500mg/5ml,100ml bottle,Pakistan,Suspicious
Tramadol,Bioraj Pharmaceuticals Ltd,Z6-6931,6195049444077,L25-3316,2028-10-25,Suspension,250mg/5ml,100 tablets,Nigeria,Genuine
Ampiclox,Dana Pharmaceuticals Ltd,S5-6878,6199059929371,B25-2976,2029-01-03,Tablet,200mg,1 vial,Nigeria,Genuine
Amoxil,Evans Medical Plc,P8-1136,6197740649300,B25-3189,2029-09-14,Ointment,200mg,30 tablets,Nigeria,Genuine
Promethazine,GlaxoSmithKline Nigeria,J3-8020,6193910257436,BT25-3448,2026-04-24,Sachet,50mg,1 tube,Nigeria,Genuine
Nifediipne,Juhel Nigeria Ltd,NOT REGISTERED,0000000000000,??,2022-07-06,Tablet,125mg/5ml,N/A,China,Suspicious
Tetracycline,Dana Pharmaceuticals Ltd,U4-5425,6190777946206,L24-6706,2029-11-05,Sachet,100mg,20 capsules,Nigeria,Genuine
ORS,MedExpress Ltd,E0-319707,07917913,,2022-08-04,Capsule,200mg,60ml bottle,China,Suspicious
Nifedipine,Juhel Nigeria Ltd,Z7-9508,6197298259525,L26-5002,2028-09-27,Powder,5mg,100ml bottle,Nigeria,Genuine
Metformin,HealthMax Pharma,B5-483807,17748565264243742,20,2021-03-02,  Injection ,UNKNOWN,1 vial,Pakistan,Suspicious
Vitamin C,,L5-2329,6196517680867,L26-2639,2026-04-15,Syrup,250mg,30g tube,Nigeria,Genuine
MegaVit Plus,MedExpress Ltd,43RSAS,6983443695805045,Zbjny,N/A,Tablet,20mg,200ml bottle,China,Suspicious
Flagyl,Evans Medical Plc,B4-2294,6195747338487,LOT24-1889,2027-04-02,Powder,200mg,5 vials,Nigeria,Genuine
Emzor Paracetamol,Juhel Nigeria Ltd,S7-5991,6191218209706,BT24-1238,2029-05-07,Suspension,400mg,5 vials,Nigeria,Genuine
Amoxicillin,Mopson Pharmaceutical Ltd,J2-4509,6195733221410,B26-8726,2026-11-11,Sachet,100mg,1 vial,Nigeria,Genuine
Emzor   Paracetamol ,MedLine Drugs Ltd,TB-DMFX,00642276434946526,BATCH-031,16/11/2026,  Capsule ,500mg,20 capsules,Pakistan,Suspicious
Panadol,Healwell Pharma Ltd,Z-29,8484264833,55,22/10/2026,Tablet,10mg,30g tube,Unknown,Suspicious
Atenolol,Evans Medical Plc,T6-7287,6198349604783,LOT24-1161,2029-01-05,Powder,10mg,20 tablets,Nigeria,Genuine
panadol,BioFix Pharmaceuticals,D7-1628,6193514244962,UNKNOWN,N/A,  Tablet ,250mg/5ml,60ml bottle,Pakistan,Suspicious
Vitamin CC,MedExpress Ltd,rMOQz,32861780581380573,15,2023-08-28,Powder,500mg/5ml,1 vial,India,Suspicious
Artemether Lumefantrine,NovaDrug Industries,L2-1550,6195893771251,69,17/09/2025,Sachet,1g,1 tube,Nigeria,Suspicious
Gentamicin,May & Baker Nigeria Plc,K6-1453,6193567932793,B25-2676,2027-10-17,Injection,50mg,30g tube,Nigeria,Genuine
Ampiclox,Juhel Nigeria Ltd,J5-1362,6198095948155,BT25-9863,2027-06-26,Cream,1g,60ml bottle,Nigeria,Genuine
Furosemide,Neimeth International Pharmaceuticals,P5-8178,6193839597248,L25-6002,2029-03-20,Suspension,400mg,1 tube,Nigeria,Genuine
Lonart,Bioraj Pharmaceuticals Ltd,I8-5098,6197697357792,BN25-2004,2028-02-13,Suspension,125mg/5ml,1 tube,Nigeria,Genuine
COARTEM,Sanofi Nigeria,P6-7729,6199042338104,N/A,N/A,  Drops ,250mg/5ml,10 capsules,China,Suspicious
Folic Acid,Sanofi Nigeria,C1-7776,6196553559042,BT25-7345,2027-08-02,Suspension,200mg,5 vials,Nigeria,Genuine
Hydrocortisone,SuperCure Pharma,-7399,4444444444444,BATCH-542,2021-01-22,Drops,100mg,10 capsules,China,Suspicious
Prednisolone,Dana Pharmaceuticals Ltd,W9-4350,6196385467850,LOT25-5992,2029-08-04,Drops,500mg/5ml,20 capsules,Nigeria,Genuine
Super Paracetamol,NovaDrug Industries,w0dt,8OXnr2lQovC3k,BATCH-790,N/A,Syurp,1g,100ml bottle,Ghana,Suspicious
ORS,,A2-1558,6193265097756,BT26-9556,2029-08-07,Drops,1g,10 capsules,Nigeria,Genuine
Nifedipine,Nigerian German Chemicals Plc,M3-5308,6191638944843,L24-1221,2027-03-10,Capsule,125mg/5ml,100ml bottle,Nigeria,Genuine
MegaVit Plus,TopNotch Drugs Ltd,-8405,1660191090488660732,??,25/08/2025,Drops,250mg/5ml,1 tube,Ghana,Suspicious
,SuperCure Pharma,E5-792142,6199563603859,BATCH-171,2021-03-20,Sachet,???,60ml bottle,India,Suspicious
Folic Acid,Neimeth International Pharmaceuticals,Y2-9163,6198774701682,L24-3624,2028-01-02,Injection,50mg,1 vial,Nigeria,Genuine
Hydrocortisone,Neimeth International Pharmaceuticals,L4-6576,6194948083134,L25-9196,2027-12-16,Drops,50mg,30g tube,Nigeria,Genuine
Coartme,Emzor Pharmaceutical Industries,Z4cZQCvA,9999999999999,BATCH-502,UNKNOWN,Caspule,500mg,1 vial,Pakistan,Suspicious
Magic Cure Pill,Dana Pharmaceuticals Ltd,B5-4072,6192590677183,BATCH-147,2023-05-08,Tbalet,10mg,1 tube,Unknown,Suspicious
Ampiclox,SKG Pharma Ltd,U0-2058,6197130232129,B26-3448,2027-09-03,Ointment,250mg/5ml,100ml bottle,Nigeria,Genuine
Atenolol,Dana Pharmaceuticals Ltd,D2-8289,6191026767207,B26-6037,2029-10-19,Syrup,50mg,10 tablets,Nigeria,Genuine
MegaVit Plus,WonderDrug Co,RxJb,0000000000000,wpFds,N/A,  Cream ,5mg,10 capsules,Unknown,Suspicious
lonart,SuperCure Pharma,V7-5625,6199250075167,??,???,drops,200mg,10 capsules,Ghana,Suspicious
Metformin,GlaxoSmithKline Nigeria,A4-5012,6193218196000,BN24-3911,2026-09-07,Powder,20mg,100 tablets,Nigeria,Genuine
Lonart DS Extra,PharmaPlus International,D2-7234,5555555555555,BATCH-811,2023-05-09,Injection,5mg,100ml bottle,Ghana,Suspicious
Tramadol,GlaxSomithKline Nigeria,A84N1W,6192737989797,aPrCRe,???,Drpos,50mg,20 tablets,Nigeria,Suspicious
Power Drug,AlphaHealth Industries,R-80,306343594882188496,vTaSQZ,2020-03-27,Ceram,5mg,30 tablets,Ghana,Suspicious
AMOXIL,Fidson Healthcare Plc,MU-THJL,019453911776665052,---,2021-01-26,sACHET,100mg,5 vials,Unknown,Suspicious
Azithromycin,May & Baker Nigeria Plc,J3-1717,6193054868741,BN26-3231,2028-06-28,Tablet,125mg/5ml,20 capsules,Nigeria,Genuine
Total Cure Tablets,AlphaHealth Industries,GM-UJHH,0SivlUW217WDC,??,2022-03-01,Drops,N/A,1 tube,Nigeria,Suspicious
ORS,Mopson Pharmaceutical Ltd,Q9-3486,6199880858383,BT25-2700,2026-11-06,Sachet,200mg,30g tube,Nigeria,Genuine
Amoxicillin,DrugKing Industries,MR-BUOC,6191116271430,BATCH-620,2023-06-01,Injection,10mg,5 vials,India,Suspicious
Amlodipine,Bioraj Pharmaceuticals Ltd,Z2-4295,6193921883525,L26-9931,2026-09-16,Cream,250mg/5ml,30g tube,Nigeria,Genuine
Multivitamin,Sanofi Nigeria,K3-3815,6196389021997,LOT25-2140,2026-04-28,Ointment,200mg,100 tablets,Nigeria,Genuine
METFORMIN,GoodHealth Generics,WS-LIRK,6198967621827,40,19/11/2025,Syurp,500mg/5ml,N/A,Unknown,Suspicious
Metronidazol,PharmaPlus International,Q-34,4889334375186694,wQQjmDt,,Powedr,500mg,1 pack,India,Suspicious
Ferrous uSlphate,HealthMax Pharma,P3-453950,2222222222222,BATCH-409,14/02/2026,Suspension,20mg,10 capsules,Pakistan,Suspicious
Azithromycin,NovaDrug Industries,H-12,p3BOq6Gnv64PV,53,2021-08-01,Ointment,???,5 vials,Unknown,Suspicious
Vitamin C,Neimeth International Pharmaceuticals,T8-1866,6199837801820,BN25-3471,2027-12-27,Sachet,50mg,20 tablets,Nigeria,Genuine
CEFTRIAXONE,MegaDrug Industries,  Y5-9197 ,569640101460193,42,2020-07-06,Syrup,250mg,60ml bottle,Nigeria,Suspicious
Metronidazol,GlaxoSmithKline Nigeria,VY-DCVJ,69962083479100593257,98,2023-01-23,SUSPENSION,500mg,20 tablets,Ghana,Suspicious
Ibuprofen,MegaDrug Industries,A-69,0000000000000,BATCH-617,06/05/2026,Suspension,UNKNOWN,20 capsules,Unknown,Suspicious
Diclofenac,Hovid Nigeria Ltd,X0-3868,6196206724001,LOT26-9975,2026-06-10,Drops,125mg/5ml,200ml bottle,Nigeria,Genuine
Vitamin C,Juhel Nigeria Ltd,H7-1668,6193824073337,BT25-3638,2027-01-10,Suspension,500mg,1 vial,Nigeria,Genuine
METFORMIN,Juhel Nigerai Ltd,K9-3599,6197487411482,UNKNOWN,15/06/2025,Capsule,???,N/A,India,Suspicious
Augmentin,Drugfield Pharmaceuticals Ltd,W8-9697,6199957298937,L25-2920,2029-05-11,Injection,1g,100 tablets,Nigeria,Genuine
Loperamide,Pfizer Nigeria,J5-2697,6199832731580,LOT24-4664,2027-07-28,Powder,500mg/5ml,1 vial,Nigeria,Genuine
Flagyl,Pharma Deko Plc,M9-1897,6196908726174,L24-7341,2027-12-07,Injection,5mg,1 tube,Nigeria,Genuine
  Metronidazole ,TUYIL PHARMACEUTICAL INDUSTRIES,-2839,BNCvrCnSW7nVL,BATCH-129,,Ointment,100mg,200ml bottle,Unknown,Suspicious
Hydrocortisone,Tuyil Pharmaceutical Industries,T0-9222,6192723184328,BT24-6034,2026-11-08,Ointment,500mg/5ml,20 capsules,Nigeria,Genuine
Augmentin,Drugfield Pharmaceuticals Ltd,C5-5102,6191520643618,BN24-3596,2029-02-05,Sachet,200mg,200ml bottle,Nigeria,Genuine
Metformin,Swiss Pharma Nigeria Ltd,E4-9912,6197098726494,L24-3103,2027-06-03,Drops,400mg,30g tube,Nigeria,Genuine
Vitamin B Complex,Nigerian German Chemicals Plc,V5-3166,6198092428759,L24-1568,2028-12-17,Ointment,100mg,10 capsules,Nigeria,Genuine
Amoxicilin,Healwell Pharma Ltd,L3-4386,67027728715659695,??,16/06/2026,Sachet,250mg/5ml,1 tube,Nigeria,Suspicious
vITAMIN b cOMPLEX,AlphaHealth Industries,  Q7-7550 ,6195049221708,BATCH-657,2023-11-24,  Drops ,500mg/5ml,60ml bottle,China,Suspicious
diazepam,Tuyli Pharmaceutical Industries,K-82,0000000000000,??,2021-10-02,Suspension,50mg,1 tube,Unknown,Suspicious
hYDROCORTISONE,BioFix Pharmaceuticals,N4-3154,525576881,BATCH-952,N/A,Sachet,125mg/5ml,1 vial,India,Suspicious
Prednisolone,MAY & BAKER NIGERIA PLC,-1068,7sFkCi1Td4NNl,BATCH-557,23/09/2026,Syrup,10mg,60ml bottle,China,Suspicious
Amatem,TopNotch Drugs Ltd,-2871,7777777777777,rxFPLI,???,Injection,N/A,20 tablets,India,Suspicious
Metronidazole,Juhel Nigeria Ltd,C8-4899,6194738299738,L25-3219,2026-02-22,Ointment,10mg,60ml bottle,Nigeria,Genuine
Vitamin B Complex,Chi Pharmaceuticals Ltd,X3-5012,6196293449733,LOT25-1410,2028-07-13,Syrup,50mg,100ml bottle,Nigeria,Genuine
Artemether Lumefantrine,GlaxoSmithKline Nigeria,V1-7716,6198809255029,BN26-3928,2026-07-01,Sachet,500mg,60ml bottle,Nigeria,Genuine
Amoxil,Swiss Pharma Nigeria Ltd,I0-8951,6197848739286,LOT25-7774,2028-10-28,Powder,100mg,20 tablets,Nigeria,Genuine
Folic Acid,Juhel Nigeria Ltd,C3-1091,6195570836822,BN25-5068,2028-09-17,Sachet,20mg,60ml bottle,Nigeria,Genuine
Spironolactone,Fidson Healthcare Plc,V7-3115,6192329716749,BT24-9223,2026-01-12,Injection,10mg,5 vials,Nigeria,Genuine
Artemether Lumefantrine,Drugfield Pharmaceuticals Ltd,M6-7972,6191459011076,B25-7757,2026-05-02,Tablet,250mg/5ml,5 vials,Nigeria,Genuine
Diclofenac,Juhel Nigeria Ltd,T2-7463,6196486989398,L26-9103,2029-05-17,Ointment,1g,10 capsules,Nigeria,Genuine
Prednisolone,MedLine Drugs Ltd,9C6pKDnNFp,0000000000000,N/A,???,Sachet,125mg/5ml,5 vials,Nigeria,Suspicious
Vitamin CC,fIDSON hEALTHCARE pLC,WR-XEUH,1111111111111,BATCH-997,28/03/2026,Capsule,1g,20 tablets,Unknown,Suspicious
Hydrocortisone,Nigerian German Chemicals Plc,X9-2333,6195671649321,B26-8367,2026-03-16,Capsule,400mg,5 vials,Nigeria,Genuine
Multivitamin,  Dana  Pharmaceuticals Ltd,P-97,315922912706593410,BATCH-076,N/A,Capsule,N/A,20 capsules,China,Suspicious
  Metronidazole ,BestPills International,s0-3317,924941801695991129,BATCH-422,2021-09-15,  Sachet ,UNKNOWN,1 tube,Pakistan,Suspicious
  ORS ,MegaDrug Industries,N/A,8790522,BATCH-325,15/10/2026,Tablet,5mg,1 tube,China,Suspicious
Furosemide,Bioraj Pharmaceuticals Ltd,E7-4312,6194813104506,BT25-9299,2029-04-22,Syrup,250mg,100ml bottle,Nigeria,Genuine
Glibenclamide,Evans Medical Plc,H6-2841,6197213145193,LOT24-6006,2026-01-20,Syrup,100mg,60ml bottle,Nigeria,Genuine
Loperamide,Tuyil Pharmaceutical Industries,A6-2113,6190390339706,LOT26-1420,2028-09-27,Syrup,20mg,100 tablets,Nigeria,Genuine
Ciprofloxacin,emzor pharmaceutical industries,Y-30,804374,iFQWAtqg,???,Capsule,N/A,10 tablets,Unknown,Suspicious
Metronidazole,Juhel Nigeria Ltd,Z0-4765,6198694842496,LOT26-8491,2026-11-03,Injection,10mg,100ml bottle,Nigeria,Genuine
Atenolol,Neimeth International Pharmaceuticals,E5-4750,6199933797058,B24-6393,2027-10-11,Capsule,5mg,100ml bottle,Nigeria,Genuine
Paracetamol,Swiss Pharma Nigeria Ltd,D5-8138,6193213580040,BN24-0886,2028-02-09,Cream,250mg/5ml,1 vial,Nigeria,Genuine
  Metronidazole ,MedExpress Ltd,-3321,0000000000000,UNKNOWN,2021-03-05,Sryup,250mg,5 vials,China,Suspicious
Ceftriaxone,Emzor Pharmaceutical Industries,T0-9807,6191441529824,BN25-3264,2027-10-11,Drops,125mg/5ml,200ml bottle,Nigeria,Genuine
Ciprofloxacn,Healwell Pharma Ltd,RTNFGZ,a4zKv7uVTnV75,??,2021-08-08,Ceram,1g,1 pack,China,Suspicious
Power Drug,Hovid Nigeria Ltd,N/A,0640980587715559,VKizyFis,2021-01-23,Injection,50mg,1 pack,China,Suspicious
Coartem,DrugKing Industries,-5553,217816780664315,tST,,  Powder ,500mg,60ml bottle,Unknown,Suspicious
Coartem,Dana Pharmaceuticals Ltd,H8-8444,6192205422160,BT25-5351,2028-10-21,Ointment,200mg,100 tablets,Nigeria,Genuine
Cotrimoxazole,Neimeth International Pharmaceuticals,W6-7935,6199411800539,L25-9901,2026-01-09,Powder,1g,60ml bottle,Nigeria,Genuine
Amoxil,Mopson Pharmaceutical Ltd,J1-8113,6194316704500,BT24-3005,2026-03-17,Syrup,100mg,1 tube,Nigeria,Genuine
  Augmentin ,Dana Pharamceuticals Ltd,t2-3360,0000000000000,mpotdX,UNKNOWN,Injection,250mg,20 tablets,Unknown,Suspicious
Doxycycline,Drugfield Pharmaceuticals Ltd,A7-1364,6195696591711,BT25-8238,2028-03-20,Injection,10mg,60ml bottle,Nigeria,Genuine
Antacid,Mopson Pharmaceutical Ltd,L3-7124,6199520561000,L25-9428,2026-11-01,Ointment,1g,60ml bottle,Nigeria,Genuine
Prednisolone,May & Baker Nigeria Plc,P1-6775,6195348201289,LOT24-0504,2027-11-17,Cream,500mg,100ml bottle,Nigeria,Genuine
ORS,Pfizer Nigeria,O4-3668,6199250105871,LOT24-5265,2029-09-01,Ointment,125mg/5ml,20 capsules,Nigeria,Genuine
Chlorpheniramine,Swiss Pharma Nigeria Ltd,A5-3583,6192941156305,BT26-5305,2028-11-23,Sachet,20mg,100 tablets,Nigeria,Genuine
Emzor Paracetamol,SKG Pharma Ltd,R4-4010,6199029233453,BN24-0349,2026-10-02,Ointment,125mg/5ml,10 tablets,Nigeria,Genuine
Power Drug,sanofi nigeria,G8-421583,6191115703475,BATCH-368,10/11/2025,ointment,125mg/5ml,5 vials,India,Suspicious
Aetnolol,HealthMax Pharma,NOT REGISTERED,6324051026,BATCH-584,???,suspension,500mg/5ml,1 pack,India,Suspicious
aMATEM,DrugKing Industries,CZAFR0,4444444444444,BATCH-251,2020-09-26,Capsule,UNKNOWN,100 tablets,China,Suspicious
Metronidazole,MedLine Drugs Ltd,O8-866248,348573654044927,66,2020-04-04,Drops,50mg,30g tube,India,Suspicious
  Prednisolone ,AlphaHealth Industries,M-51,0000000000000,WoRy,23/06/2025,Inejction,N/A,1 tube,China,Suspicious
  Lonart ,Healwell Pharma Ltd,-7413,6190742906952,24,2021-04-14,SACHET,500mg,30g tube,China,Suspicious
  Augmentin ,MedLine Drugs Ltd,J1-6893,91842519561765589223,BATCH-315,???,Tablet,20mg,10 tablets,Ghana,Suspicious
Azithromycin,TopNotch Drugs Ltd,-8220,zr3KirAtAflcD,BATCH-705,2020-07-12,Sryup,200mg,1 tube,Pakistan,Suspicious
Amoxil,May & Baker Nigeria Plc,G8-9348,4104043,vUrJR,2020-05-17,Suspension,1g,1 pack,India,Suspicious
Doxycycline,Drugfield Pharmaceuticals Ltd,P2-4341,6198750827689,BN26-7571,2027-03-12,Drops,50mg,20 capsules,Nigeria,Genuine
Lonart,Evans Medical Plc,H4-2996,6190369711793,B24-8543,2027-12-05,Injection,20mg,10 tablets,Nigeria,Genuine
Amoxicilin,TopNotch Drugs Ltd,PENDING,i7EeKjLXDY1uq,BATCH-139,11/07/2025,Suspension,50mg,100 tablets,Nigeria,Suspicious
