DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
atenolol,bioraj pharmaceuticals ltd,g9-3286,6192501425766,bt25-0113,2027-04-06,injection,400mg,20 tablets,nigeria,Genuine,0
tetracycline,evans medical plc,h0-4946,6199117182274,b24-4442,2029-04-18,suspension,250mg/5ml,10 capsules,nigeria,Genuine,0
ciprofloxacin,swiss pharma nigeria ltd,d0-4924,6191421751887,l26-2100,2029-11-20,injection,500mg/5ml,20 tablets,nigeria,Genuine,0
flagyl,nigerian german chemicals plc,m5-7541,6198629591253,l24-5147,2027-06-11,suspension,1g,10 capsules,nigeria,Genuine,0
tramadol,swiss pharma nigeria ltd,z9-8243,6195170281404,l26-3710,2029-06-03,cream,500mg,1 vial,nigeria,Genuine,0
flagyl,pharma deko plc,u2-2225,6197459615863,lot26-8094,2026-10-03,suspension,125mg/5ml,5 vials,nigeria,Genuine,0
augmentin,alphahealth industries,m-53992,6197318020401,batch-084,2020-03-20,injection,50mg,1 pack,nigeria,Suspicious,1
folic acid,fidson healthcare plc,m1-4027,6192753046375,lot25-5047,2026-05-21,cream,250mg/5ml,100 tablets,nigeria,Genuine,0
lonart,bioraj pharmaceuticals ltd,e7-6918,6194801571648,l26-5211,2029-04-18,ointment,400mg,60ml bottle,nigeria,Genuine,0
amoxil,glaxosmithkline nigeria,d6-5754,6193690283779,bt25-0561,2027-09-20,ointment,500mg/5ml,5 vials,nigeria,Genuine,0
tetracycline,pfizer nigeria,k7-5501,6197284639201,b25-7936,2026-09-12,ointment,125mg/5ml,30g tube,nigeria,Genuine,0
tramadol,dana pharmaceuticals ltd,i6-7357,6197665061805,b24-9694,2026-12-28,capsule,10mg,200ml bottle,nigeria,Genuine,0
chloroquine,pharmafast nigeria,-1386,0000000000000,??,04/04/2025,tbalet,200mg,5 vials,unknown,Suspicious,1
magic cure pill,tuyil hparmaceutical industries,owlzcwd,0000000000000,zhvel,UNKNOWN,injection,250mg,30g tube,ghana,Suspicious,1
promethazine,evans medical plc,e1-8574,6199428179345,bn25-5648,2027-12-16,drops,10mg,200ml bottle,nigeria,Genuine,0
ciporfloxacin,evans medical plc,none,722982,gkh,2022-11-07,sachet,250mg/5ml,20 tablets,nigeria,Suspicious,1
panado,megadrug industries,z2-2380,6192206591001,batch-812,2023-05-10,injection,unknown,30 tablets,india,Suspicious,1
tetracycline,goodhealth generics,9mnrn8,cyexrhl5kz7ha,41,???,sachet,50mg,5 vials,unknown,Suspicious,1
gentamicin,nigerian german chemicals plc,j6-5640,6199111109611,l26-9024,2026-11-15,powder,1g,30g tube,nigeria,Genuine,0
chlorpheniramine,may & baker nigeria plc,x6-7564,6199849027706,bt26-8589,2028-04-02,sachet,5mg,200ml bottle,nigeria,Genuine,0
cotrimoxazole,may & baker nigeria plc,l6-9381,6197611249127,lot25-5667,2027-04-26,drops,200mg,10 capsules,nigeria,Genuine,0
lonart ds extra,healthmax pharma,u4-7685,0drvmfhrt8yc6,zmmtlwan,2020-07-18,sachet,1g,5 vials,china,Suspicious,1
gentamicin,skg pharma ltd,n9-5451,6195919663959,lot26-1152,2029-03-02,powder,400mg,1 vial,nigeria,Genuine,0
ors,healwell pharma ltd,r2-7580,6192936756275,batch-738,2021-05-19,powder,50mg,1 pack,india,Suspicious,1
tetracycline,hovid nigeria ltd,w1-8409,6193906375793,bn26-5189,2028-03-26,capsule,250mg,200ml bottle,nigeria,Genuine,0
artemether lumefantrine,supercure pharma,l9-5897,10797,??,12/05/2026,ointemnt,400mg,1 pack,china,Suspicious,1
spironolactone,pfizer nigeria,v9-3734,6191779055286,l25-9687,2027-04-27,cream,250mg,5 vials,nigeria,Genuine,0
flagyl,fastrelief drugs,q5-7997,6196767809643,batch-829,UNKNOWN,sachte,125mg/5ml,10 capsules,nigeria,Suspicious,1
omeprazole,pfizer nigeria,n1-2874,6198367365765,l26-1657,2028-07-11,injection,10mg,30 tablets,nigeria,Genuine,0
total cure tablets,bestpills international,glo1bx,346754182,55,unknown,tablet,400mg,1 pack,china,Suspicious,1
prednisolone,dana pharmaceuticals ltd,z6-5873,6197102767734,lot26-2453,2028-12-11,cream,20mg,30 tablets,nigeria,Genuine,0
ibuprofen,glaxosmithkline nigeria,p9-6871,6195633185744,b24-7586,2026-01-13,ointment,20mg,20 tablets,nigeria,Genuine,0
augmentin,juhel nigeria ltd,s2-3656,6192206447421,bn24-3423,2026-10-25,injection,500mg,100ml bottle,nigeria,Genuine,0
atenolol,wonderdrug co,c-51,42610703,47,2022-03-10,suspension,400mg,1 vial,pakistan,Suspicious,1
ranitidine,tuyil pharmaceutical industries,n3-6690,6191484685365,l25-8543,2029-11-25,powder,100mg,10 tablets,nigeria,Genuine,0
predinsolone,swiss pharma nigeria ltd,i7-6218,6196461209619,unknown,2020-10-19,syrup,5mg,5 vials,china,Suspicious,1
unknown,medexpress ltd,u017wt,0znu2imtlqpch,jcjmm,28/08/2025,podwer,500mg,100 tablets,pakistan,Suspicious,1
lisinopril,skg pharma ltd,c5-4487,6191234550684,b24-7247,2026-08-21,drops,20mg,30g tube,nigeria,Genuine,0
paracetmol,sanofi nigeira,none,5777917,batch-296,2022-11-11,suspnesion,100mg,30 tablets,ghana,Suspicious,1
cotrimoxazole,drugfield pharmaceuticals ltd,a3-2196,6190651801706,lot25-3048,2027-11-24,ointment,10mg,60ml bottle,nigeria,Genuine,0
doxycycline,tuyil pharmaceutical industries,j6-1601,6197154516809,b25-6870,2026-04-17,cream,1g,30g tube,nigeria,Genuine,0
folic acid,emzor pharmaceutical industries,u4-8381,6197358662968,bn26-4939,2027-12-03,capsule,400mg,30 tablets,nigeria,Genuine,0
multivitamin,juhel nigeria ltd,w8-4560,6193394522884,lot26-1990,2028-09-16,sachet,1g,5 vials,nigeria,Genuine,0
panadol,fidson healthcare plc,j5-7807,6192328588422,lot25-4935,2028-02-15,capsule,100mg,30g tube,nigeria,Genuine,0
chlorpheniramine,drugfield pharmaceuticals ltd,q9-9087,6198610313109,bn26-4461,2027-02-18,capsule,400mg,100 tablets,nigeria,Genuine,0
diazepam,nigerian german chemicals plc,q1-7484,6194535218185,b24-5824,2028-12-27,syrup,200mg,20 tablets,nigeria,Genuine,0
ampiclox,supercure pharma,h-76,6191612921358,ihm,2020-02-01,dorps,250mg/5ml,20 tablets,china,Suspicious,1
loperamide,pharmafast nigeria,ru-opmx,043817,unknown,13/10/2025,injection,500mg,1 vial,pakistan,Suspicious,1
ranitidine,pfizer nigeria,m9-2676,6190858994416,l24-5609,2028-11-11,injection,400mg,5 vials,nigeria,Genuine,0
promethazine,chi pharmaceuticals ltd,v4-2388,6192513412525,b25-6952,2027-10-13,ointment,100mg,100ml bottle,nigeria,Genuine,0
emzor paracetamol,dana pharmaceuticals ltd,o1-3324,6194365858568,lot24-3573,2026-05-03,syrup,500mg,30 tablets,nigeria,Genuine,0
artemether lumefantrine,may & baker nigeria plc,z4-7382,6192776572561,lot26-3114,2026-03-09,ointment,250mg,100ml bottle,nigeria,Genuine,0
antacid,pfizer nigeria,u1-2791,6193529096563,bn24-1715,2028-04-17,powder,5mg,1 vial,nigeria,Genuine,0
promethazine,mopson pharmaceutical ltd,h9-7825,6192185188889,b24-6497,2029-01-21,ointment,10mg,10 capsules,nigeria,Genuine,0
coartem,pharmafast nigeria,l3gtvjdfmj,6192974511652,auopeq,2021-04-19,ointment,500mg,5 vials,unknown,Suspicious,1
vitamin b complex,wonderdrug co,2kocwd,w7cscd8jqqlwu,unknown,unknown,drops,100mg,bulk,ghana,Suspicious,1
furosemide,tuyil pharmaceutical industries,h1-5322,6194158331179,bn24-0315,2027-08-27,ointment,200mg,100ml bottle,nigeria,Genuine,0
paracetmol,goodhealth generics,oormr9,971763506427299043,vvuwit,2021-12-12,injection,500mg/5ml,100ml bottle,pakistan,Suspicious,1
tramadol,bioraj pharmaceuticals ltd,z6-6931,6195049444077,l25-3316,2028-10-25,suspension,250mg/5ml,100 tablets,nigeria,Genuine,0
ampiclox,dana pharmaceuticals ltd,s5-6878,6199059929371,b25-2976,2029-01-03,tablet,200mg,1 vial,nigeria,Genuine,0
amoxil,evans medical plc,p8-1136,6197740649300,b25-3189,2029-09-14,ointment,200mg,30 tablets,nigeria,Genuine,0
promethazine,glaxosmithkline nigeria,j3-8020,6193910257436,bt25-3448,2026-04-24,sachet,50mg,1 tube,nigeria,Genuine,0
nifediipne,juhel nigeria ltd,not registered,0000000000000,??,2022-07-06,tablet,125mg/5ml,unknown,china,Suspicious,1
tetracycline,dana pharmaceuticals ltd,u4-5425,6190777946206,l24-6706,2029-11-05,sachet,100mg,20 capsules,nigeria,Genuine,0
ors,medexpress ltd,e0-319707,07917913,unknown,2022-08-04,capsule,200mg,60ml bottle,china,Suspicious,1
nifedipine,juhel nigeria ltd,z7-9508,6197298259525,l26-5002,2028-09-27,powder,5mg,100ml bottle,nigeria,Genuine,0
metformin,healthmax pharma,b5-483807,17748565264243742,20,2021-03-02,injection,unknown,1 vial,pakistan,Suspicious,1
vitamin c,unknown,l5-2329,6196517680867,l26-2639,2026-04-15,syrup,250mg,30g tube,nigeria,Genuine,0
megavit plus,medexpress ltd,43rsas,6983443695805045,zbjny,unknown,tablet,20mg,200ml bottle,china,Suspicious,1
flagyl,evans medical plc,b4-2294,6195747338487,lot24-1889,2027-04-02,powder,200mg,5 vials,nigeria,Genuine,0
emzor paracetamol,juhel nigeria ltd,s7-5991,6191218209706,bt24-1238,2029-05-07,suspension,400mg,5 vials,nigeria,Genuine,0
amoxicillin,mopson pharmaceutical ltd,j2-4509,6195733221410,b26-8726,2026-11-11,sachet,100mg,1 vial,nigeria,Genuine,0
emzor paracetamol,medline drugs ltd,tb-dmfx,00642276434946526,batch-031,16/11/2026,capsule,500mg,20 capsules,pakistan,Suspicious,1
panadol,healwell pharma ltd,z-29,8484264833,55,22/10/2026,tablet,10mg,30g tube,unknown,Suspicious,1
atenolol,evans medical plc,t6-7287,6198349604783,lot24-1161,2029-01-05,powder,10mg,20 tablets,nigeria,Genuine,0
panadol,biofix pharmaceuticals,d7-1628,6193514244962,unknown,unknown,tablet,250mg/5ml,60ml bottle,pakistan,Suspicious,1
vitamin cc,medexpress ltd,rmoqz,32861780581380573,15,2023-08-28,powder,500mg/5ml,1 vial,india,Suspicious,1
artemether lumefantrine,novadrug industries,l2-1550,6195893771251,69,17/09/2025,sachet,1g,1 tube,nigeria,Suspicious,1
gentamicin,may & baker nigeria plc,k6-1453,6193567932793,b25-2676,2027-10-17,injection,50mg,30g tube,nigeria,Genuine,0
ampiclox,juhel nigeria ltd,j5-1362,6198095948155,bt25-9863,2027-06-26,cream,1g,60ml bottle,nigeria,Genuine,0
furosemide,neimeth international pharmaceuticals,p5-8178,6193839597248,l25-6002,2029-03-20,suspension,400mg,1 tube,nigeria,Genuine,0
lonart,bioraj pharmaceuticals ltd,i8-5098,6197697357792,bn25-2004,2028-02-13,suspension,125mg/5ml,1 tube,nigeria,Genuine,0
coartem,sanofi nigeria,p6-7729,6199042338104,unknown,unknown,drops,250mg/5ml,10 capsules,china,Suspicious,1
folic acid,sanofi nigeria,c1-7776,6196553559042,bt25-7345,2027-08-02,suspension,200mg,5 vials,nigeria,Genuine,0
hydrocortisone,supercure pharma,-7399,4444444444444,batch-542,2021-01-22,drops,100mg,10 capsules,china,Suspicious,1
prednisolone,dana pharmaceuticals ltd,w9-4350,6196385467850,lot25-5992,2029-08-04,drops,500mg/5ml,20 capsules,nigeria,Genuine,0
super paracetamol,novadrug industries,w0dt,8oxnr2lqovc3k,batch-790,unknown,syurp,1g,100ml bottle,ghana,Suspicious,1
ors,unknown,a2-1558,6193265097756,bt26-9556,2029-08-07,drops,1g,10 capsules,nigeria,Genuine,0
nifedipine,nigerian german chemicals plc,m3-5308,6191638944843,l24-1221,2027-03-10,capsule,125mg/5ml,100ml bottle,nigeria,Genuine,0
megavit plus,topnotch drugs ltd,-8405,1660191090488660732,??,25/08/2025,drops,250mg/5ml,1 tube,ghana,Suspicious,1
unknown,supercure pharma,e5-792142,6199563603859,batch-171,2021-03-20,sachet,???,60ml bottle,india,Suspicious,1
folic acid,neimeth international pharmaceuticals,y2-9163,6198774701682,l24-3624,2028-01-02,injection,50mg,1 vial,nigeria,Genuine,0
hydrocortisone,neimeth international pharmaceuticals,l4-6576,6194948083134,l25-9196,2027-12-16,drops,50mg,30g tube,nigeria,Genuine,0
coartme,emzor pharmaceutical industries,z4czqcva,9999999999999,batch-502,UNKNOWN,caspule,500mg,1 vial,pakistan,Suspicious,1
magic cure pill,dana pharmaceuticals ltd,b5-4072,6192590677183,batch-147,2023-05-08,tbalet,10mg,1 tube,unknown,Suspicious,1
ampiclox,skg pharma ltd,u0-2058,6197130232129,b26-3448,2027-09-03,ointment,250mg/5ml,100ml bottle,nigeria,Genuine,0
atenolol,dana pharmaceuticals ltd,d2-8289,6191026767207,b26-6037,2029-10-19,syrup,50mg,10 tablets,nigeria,Genuine,0
megavit plus,wonderdrug co,rxjb,0000000000000,wpfds,unknown,cream,5mg,10 capsules,unknown,Suspicious,1
lonart,supercure pharma,v7-5625,6199250075167,??,???,drops,200mg,10 capsules,ghana,Suspicious,1
metformin,glaxosmithkline nigeria,a4-5012,6193218196000,bn24-3911,2026-09-07,powder,20mg,100 tablets,nigeria,Genuine,0
lonart ds extra,pharmaplus international,d2-7234,5555555555555,batch-811,2023-05-09,injection,5mg,100ml bottle,ghana,Suspicious,1
tramadol,glaxsomithkline nigeria,a84n1w,6192737989797,aprcre,???,drpos,50mg,20 tablets,nigeria,Suspicious,1
power drug,alphahealth industries,r-80,306343594882188496,vtasqz,2020-03-27,ceram,5mg,30 tablets,ghana,Suspicious,1
amoxil,fidson healthcare plc,mu-thjl,019453911776665052,---,2021-01-26,sachet,100mg,5 vials,unknown,Suspicious,1
azithromycin,may & baker nigeria plc,j3-1717,6193054868741,bn26-3231,2028-06-28,tablet,125mg/5ml,20 capsules,nigeria,Genuine,0
total cure tablets,alphahealth industries,gm-ujhh,0sivluw217wdc,??,2022-03-01,drops,unknown,1 tube,nigeria,Suspicious,1
ors,mopson pharmaceutical ltd,q9-3486,6199880858383,bt25-2700,2026-11-06,sachet,200mg,30g tube,nigeria,Genuine,0
amoxicillin,drugking industries,mr-buoc,6191116271430,batch-620,2023-06-01,injection,10mg,5 vials,india,Suspicious,1
amlodipine,bioraj pharmaceuticals ltd,z2-4295,6193921883525,l26-9931,2026-09-16,cream,250mg/5ml,30g tube,nigeria,Genuine,0
multivitamin,sanofi nigeria,k3-3815,6196389021997,lot25-2140,2026-04-28,ointment,200mg,100 tablets,nigeria,Genuine,0
metformin,goodhealth generics,ws-lirk,6198967621827,40,19/11/2025,syurp,500mg/5ml,unknown,unknown,Suspicious,1
metronidazol,pharmaplus international,q-34,4889334375186694,wqqjmdt,unknown,powedr,500mg,1 pack,india,Suspicious,1
ferrous uslphate,healthmax pharma,p3-453950,2222222222222,batch-409,14/02/2026,suspension,20mg,10 capsules,pakistan,Suspicious,1
azithromycin,novadrug industries,h-12,p3boq6gnv64pv,53,2021-08-01,ointment,???,5 vials,unknown,Suspicious,1
vitamin c,neimeth international pharmaceuticals,t8-1866,6199837801820,bn25-3471,2027-12-27,sachet,50mg,20 tablets,nigeria,Genuine,0
ceftriaxone,megadrug industries,y5-9197,569640101460193,42,2020-07-06,syrup,250mg,60ml bottle,nigeria,Suspicious,1
metronidazol,glaxosmithkline nigeria,vy-dcvj,69962083479100593257,98,2023-01-23,suspension,500mg,20 tablets,ghana,Suspicious,1
ibuprofen,megadrug industries,a-69,0000000000000,batch-617,06/05/2026,suspension,unknown,20 capsules,unknown,Suspicious,1
diclofenac,hovid nigeria ltd,x0-3868,6196206724001,lot26-9975,2026-06-10,drops,125mg/5ml,200ml bottle,nigeria,Genuine,0
vitamin c,juhel nigeria ltd,h7-1668,6193824073337,bt25-3638,2027-01-10,suspension,500mg,1 vial,nigeria,Genuine,0
metformin,juhel nigerai ltd,k9-3599,6197487411482,unknown,15/06/2025,capsule,???,unknown,india,Suspicious,1
augmentin,drugfield pharmaceuticals ltd,w8-9697,6199957298937,l25-2920,2029-05-11,injection,1g,100 tablets,nigeria,Genuine,0
loperamide,pfizer nigeria,j5-2697,6199832731580,lot24-4664,2027-07-28,powder,500mg/5ml,1 vial,nigeria,Genuine,0
flagyl,pharma deko plc,m9-1897,6196908726174,l24-7341,2027-12-07,injection,5mg,1 tube,nigeria,Genuine,0
metronidazole,tuyil pharmaceutical industries,-2839,bncvrcnsw7nvl,batch-129,unknown,ointment,100mg,200ml bottle,unknown,Suspicious,1
hydrocortisone,tuyil pharmaceutical industries,t0-9222,6192723184328,bt24-6034,2026-11-08,ointment,500mg/5ml,20 capsules,nigeria,Genuine,0
augmentin,drugfield pharmaceuticals ltd,c5-5102,6191520643618,bn24-3596,2029-02-05,sachet,200mg,200ml bottle,nigeria,Genuine,0
metformin,swiss pharma nigeria ltd,e4-9912,6197098726494,l24-3103,2027-06-03,drops,400mg,30g tube,nigeria,Genuine,0
vitamin b complex,nigerian german chemicals plc,v5-3166,6198092428759,l24-1568,2028-12-17,ointment,100mg,10 capsules,nigeria,Genuine,0
amoxicilin,healwell pharma ltd,l3-4386,67027728715659695,??,16/06/2026,sachet,250mg/5ml,1 tube,nigeria,Suspicious,1
vitamin b complex,alphahealth industries,q7-7550,6195049221708,batch-657,2023-11-24,drops,500mg/5ml,60ml bottle,china,Suspicious,1
diazepam,tuyli pharmaceutical industries,k-82,0000000000000,??,2021-10-02,suspension,50mg,1 tube,unknown,Suspicious,1
hydrocortisone,biofix pharmaceuticals,n4-3154,525576881,batch-952,unknown,sachet,125mg/5ml,1 vial,india,Suspicious,1
prednisolone,may & baker nigeria plc,-1068,7sfkci1td4nnl,batch-557,23/09/2026,syrup,10mg,60ml bottle,china,Suspicious,1
amatem,topnotch drugs ltd,-2871,7777777777777,rxfpli,???,injection,unknown,20 tablets,india,Suspicious,1
metronidazole,juhel nigeria ltd,c8-4899,6194738299738,l25-3219,2026-02-22,ointment,10mg,60ml bottle,nigeria,Genuine,0
vitamin b complex,chi pharmaceuticals ltd,x3-5012,6196293449733,lot25-1410,2028-07-13,syrup,50mg,100ml bottle,nigeria,Genuine,0
artemether lumefantrine,glaxosmithkline nigeria,v1-7716,6198809255029,bn26-3928,2026-07-01,sachet,500mg,60ml bottle,nigeria,Genuine,0
amoxil,swiss pharma nigeria ltd,i0-8951,6197848739286,lot25-7774,2028-10-28,powder,100mg,20 tablets,nigeria,Genuine,0
folic acid,juhel nigeria ltd,c3-1091,6195570836822,bn25-5068,2028-09-17,sachet,20mg,60ml bottle,nigeria,Genuine,0
spironolactone,fidson healthcare plc,v7-3115,6192329716749,bt24-9223,2026-01-12,injection,10mg,5 vials,nigeria,Genuine,0
artemether lumefantrine,drugfield pharmaceuticals ltd,m6-7972,6191459011076,b25-7757,2026-05-02,tablet,250mg/5ml,5 vials,nigeria,Genuine,0
diclofenac,juhel nigeria ltd,t2-7463,6196486989398,l26-9103,2029-05-17,ointment,1g,10 capsules,nigeria,Genuine,0
prednisolone,medline drugs ltd,9c6pkdnnfp,0000000000000,unknown,???,sachet,125mg/5ml,5 vials,nigeria,Suspicious,1
vitamin cc,fidson healthcare plc,wr-xeuh,1111111111111,batch-997,28/03/2026,capsule,1g,20 tablets,unknown,Suspicious,1
hydrocortisone,nigerian german chemicals plc,x9-2333,6195671649321,b26-8367,2026-03-16,capsule,400mg,5 vials,nigeria,Genuine,0
multivitamin,dana pharmaceuticals ltd,p-97,315922912706593410,batch-076,unknown,capsule,unknown,20 capsules,china,Suspicious,1
metronidazole,bestpills international,s0-3317,924941801695991129,batch-422,2021-09-15,sachet,unknown,1 tube,pakistan,Suspicious,1
ors,megadrug industries,unknown,8790522,batch-325,15/10/2026,tablet,5mg,1 tube,china,Suspicious,1
furosemide,bioraj pharmaceuticals ltd,e7-4312,6194813104506,bt25-9299,2029-04-22,syrup,250mg,100ml bottle,nigeria,Genuine,0
glibenclamide,evans medical plc,h6-2841,6197213145193,lot24-6006,2026-01-20,syrup,100mg,60ml bottle,nigeria,Genuine,0
loperamide,tuyil pharmaceutical industries,a6-2113,6190390339706,lot26-1420,2028-09-27,syrup,20mg,100 tablets,nigeria,Genuine,0
ciprofloxacin,emzor pharmaceutical industries,y-30,804374,ifqwatqg,???,capsule,unknown,10 tablets,unknown,Suspicious,1
metronidazole,juhel nigeria ltd,z0-4765,6198694842496,lot26-8491,2026-11-03,injection,10mg,100ml bottle,nigeria,Genuine,0
atenolol,neimeth international pharmaceuticals,e5-4750,6199933797058,b24-6393,2027-10-11,capsule,5mg,100ml bottle,nigeria,Genuine,0
paracetamol,swiss pharma nigeria ltd,d5-8138,6193213580040,bn24-0886,2028-02-09,cream,250mg/5ml,1 vial,nigeria,Genuine,0
metronidazole,medexpress ltd,-3321,0000000000000,unknown,2021-03-05,sryup,250mg,5 vials,china,Suspicious,1
ceftriaxone,emzor pharmaceutical industries,t0-9807,6191441529824,bn25-3264,2027-10-11,drops,125mg/5ml,200ml bottle,nigeria,Genuine,0
ciprofloxacn,healwell pharma ltd,rtnfgz,a4zkv7uvtnv75,??,2021-08-08,ceram,1g,1 pack,china,Suspicious,1
power drug,hovid nigeria ltd,unknown,0640980587715559,vkizyfis,2021-01-23,injection,50mg,1 pack,china,Suspicious,1
coartem,drugking industries,-5553,217816780664315,tst,unknown,powder,500mg,60ml bottle,unknown,Suspicious,1
coartem,dana pharmaceuticals ltd,h8-8444,6192205422160,bt25-5351,2028-10-21,ointment,200mg,100 tablets,nigeria,Genuine,0
cotrimoxazole,neimeth international pharmaceuticals,w6-7935,6199411800539,l25-9901,2026-01-09,powder,1g,60ml bottle,nigeria,Genuine,0
amoxil,mopson pharmaceutical ltd,j1-8113,6194316704500,bt24-3005,2026-03-17,syrup,100mg,1 tube,nigeria,Genuine,0
augmentin,dana pharamceuticals ltd,t2-3360,0000000000000,mpotdx,UNKNOWN,injection,250mg,20 tablets,unknown,Suspicious,1
doxycycline,drugfield pharmaceuticals ltd,a7-1364,6195696591711,bt25-8238,2028-03-20,injection,10mg,60ml bottle,nigeria,Genuine,0
antacid,mopson pharmaceutical ltd,l3-7124,6199520561000,l25-9428,2026-11-01,ointment,1g,60ml bottle,nigeria,Genuine,0
prednisolone,may & baker nigeria plc,p1-6775,6195348201289,lot24-0504,2027-11-17,cream,500mg,100ml bottle,nigeria,Genuine,0
ors,pfizer nigeria,o4-3668,6199250105871,lot24-5265,2029-09-01,ointment,125mg/5ml,20 capsules,nigeria,Genuine,0
chlorpheniramine,swiss pharma nigeria ltd,a5-3583,6192941156305,bt26-5305,2028-11-23,sachet,20mg,100 tablets,nigeria,Genuine,0
emzor paracetamol,skg pharma ltd,r4-4010,6199029233453,bn24-0349,2026-10-02,ointment,125mg/5ml,10 tablets,nigeria,Genuine,0
power drug,sanofi nigeria,g8-421583,6191115703475,batch-368,10/11/2025,ointment,125mg/5ml,5 vials,india,Suspicious,1
aetnolol,healthmax pharma,not registered,6324051026,batch-584,???,suspension,500mg/5ml,1 pack,india,Suspicious,1
amatem,drugking industries,czafr0,4444444444444,batch-251,2020-09-26,capsule,unknown,100 tablets,china,Suspicious,1
metronidazole,medline drugs ltd,o8-866248,348573654044927,66,2020-04-04,drops,50mg,30g tube,india,Suspicious,1
prednisolone,alphahealth industries,m-51,0000000000000,wory,23/06/2025,inejction,unknown,1 tube,china,Suspicious,1
lonart,healwell pharma ltd,-7413,6190742906952,24,2021-04-14,sachet,500mg,30g tube,china,Suspicious,1
augmentin,medline drugs ltd,j1-6893,91842519561765589223,batch-315,???,tablet,20mg,10 tablets,ghana,Suspicious,1
azithromycin,topnotch drugs ltd,-8220,zr3kirataflcd,batch-705,2020-07-12,sryup,200mg,1 tube,pakistan,Suspicious,1
amoxil,may & baker nigeria plc,g8-9348,4104043,vurjr,2020-05-17,suspension,1g,1 pack,india,Suspicious,1
doxycycline,drugfield pharmaceuticals ltd,p2-4341,6198750827689,bn26-7571,2027-03-12,drops,50mg,20 capsules,nigeria,Genuine,0
lonart,evans medical plc,h4-2996,6190369711793,b24-8543,2027-12-05,injection,20mg,10 tablets,nigeria,Genuine,0
amoxicilin,topnotch drugs ltd,pending,i7eekjlxdy1uq,batch-139,11/07/2025,suspension,50mg,100 tablets,nigeria,Suspicious,1
lonart,sanofi nigeria,a3-2814,6190615372211,lot25-6835,2029-11-17,injection,50mg,5 vials,nigeria,Genuine,0
lonart ds extra,medexpress ltd,d4-1545,5762648163849368063,batch-527,2020-02-28,syrup,500mg/5ml,5 vials,nigeria,Suspicious,1
amlodipine,hovid nigeria ltd,l9-2579,6197793238223,bt26-1446,2026-12-13,injection,1g,20 tablets,nigeria,Genuine,0
paandol,drugfield pharmaceuticals ltd,uv-mauq,6199876674089,---,2020-01-15,cream,250mg,10 tablets,china,Suspicious,1
ferrous sulphate,swiss pharma nigeria ltd,z9-1046,6194228421021,bn25-3998,2028-01-06,injection,500mg,30 tablets,nigeria,Genuine,0
atenolol,sanofi nigeria,h7-7129,6196798250711,lot25-1506,2026-12-05,cream,400mg,20 capsules,nigeria,Genuine,0
magic cure pill,hovid nigeria ltd,l-62,6196050337464,28,2023-08-21,drops,500mg/5ml,bulk,ghana,Suspicious,1
spironolactone,tuyil pharmaceutical industries,k3-8046,6195968078520,lot25-8522,2027-05-05,capsule,125mg/5ml,200ml bottle,nigeria,Genuine,0
chlorpheinramine,may & baker nigeria plc,qlvinj,6195461679460,---,unknown,powder,unknown,60ml bottle,ghana,Suspicious,1
vitamin c,bioraj pharmaceuticals ltd,s3-5549,6190655782018,b24-4609,2027-03-27,syrup,200mg,1 tube,nigeria,Genuine,0
multivtiamin,medexpress ltd,t3anrserkl,9999999999999,batch-465,unknown,tablet,200mg,5 vials,unknown,Suspicious,1
metformin,juhel nigeria ltd,e3-7278,6196878878835,l24-9618,2029-09-19,suspension,250mg/5ml,20 tablets,nigeria,Genuine,0
chloroquine,healwell pharma ltd,i6-2015,6196089706491,61,20/01/2026,injection,250mg,5 vials,ghana,Suspicious,1
ampiclox,mopson pharmaceutical ltd,a1-3384,6194955289383,b24-1723,2026-09-07,suspension,400mg,30 tablets,nigeria,Genuine,0
ors,evans medical plc,s6-1834,6195016679983,lot24-8087,2029-08-17,sachet,250mg/5ml,1 vial,nigeria,Genuine,0
ors,drugfield pharmaceuticals ltd,n7-8224,6191167507625,l26-5791,2028-04-24,tablet,100mg,10 capsules,nigeria,Genuine,0
augmentin,sanofi nigeria,x5-1393,6191437483093,bt24-9546,2029-08-03,suspension,125mg/5ml,1 vial,nigeria,Genuine,0
panadol,may & baker nigeria plc,q2-9831,6193230898135,b26-1469,2028-09-18,capsule,400mg,10 capsules,nigeria,Genuine,0
metformin,drugking industries,-1935,6199416795205,60,unknown,injectino,5mg,30 tablets,nigeria,Suspicious,1
tramadol,bioraj pharmaceuticals ltd,t2-7876,6192566093146,bn26-1902,2029-02-11,capsule,10mg,20 capsules,nigeria,Genuine,0
augmenti,swiss pharam nigeria ltd,e-91,h38quiu9pwigf,unknown,2022-08-13,drops,500mg/5ml,30g tube,ghana,Suspicious,1
glibenclamide,wonderdrug co,ferxc,0000000000000,batch-021,07/11/2026,powder,250mg/5ml,60ml bottle,india,Suspicious,1
azithromycin,mopson pharmaceutical ltd,h3-697052,989582477339129903,unknown,unknown,syrup,250mg/5ml,100ml bottle,pakistan,Suspicious,1
diazepam,pharma deko plc,d7-4191,6199970469475,bt25-8411,2029-09-10,injection,400mg,200ml bottle,nigeria,Genuine,0
